,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,description_length,company_profile_length,requirements_length,benefits_length
0,4081,85,0,1,1,0,2,1,31,11,1558,672,613,354
1,6005,12,0,1,1,1,2,4,23,22,53,169,1479,951
2,1075,60,0,1,1,1,6,1,58,4,2956,238,2062,489
3,7413,27,0,1,1,1,4,2,66,19,494,455,1512,548
4,11063,27,0,1,1,1,5,1,61,12,15,148,1928,420
5,4080,85,0,1,0,0,3,1,31,14,2156,672,613,354
6,9877,85,0,0,0,1,5,1,112,20,3212,450,1504,687
7,7895,85,0,1,0,1,2,4,39,7,48,806,1616,580
8,6907,12,0,0,0,1,5,4,58,18,2706,481,2208,652
9,7729,85,0,1,0,1,5,1,22,29,353,534,1642,699
10,2000,29,0,1,0,1,2,1,75,2,3286,544,1649,335
11,2154,85,1,1,0,1,0,1,58,31,2597,192,786,591
12,1761,27,0,1,1,1,5,3,1,1,1385,213,1530,489
13,976,24,0,0,0,1,5,4,33,11,2539,590,1057,549
14,5872,85,0,1,0,1,2,0,112,20,842,211,1933,576
15,1644,85,0,1,0,1,5,2,75,26,721,287,1707,407
16,3206,85,0,1,1,0,1,1,31,11,2053,672,393,354
17,1531,85,0,1,1,1,3,1,87,5,1766,756,20,445
18,7717,85,0,1,0,1,0,1,24,12,3094,788,1434,643
19,5940,85,0,0,0,1,3,2,55,17,3240,384,804,602
20,9260,29,1,1,1,1,5,1,58,18,3045,32,2117,1094
21,7911,85,1,1,0,3,4,9,94,17,347,183,2146,525
22,2604,29,0,1,0,0,2,3,62,15,3310,512,2092,358
23,5863,74,0,1,0,1,4,1,31,16,1957,696,1321,718
24,6244,85,0,1,1,1,3,5,54,16,1584,16,1450,671
25,5258,7,0,1,0,1,2,2,32,12,1823,197,1769,643
26,2653,27,0,1,1,1,6,4,56,1,2932,923,1834,303
27,9639,85,0,1,0,1,3,3,58,7,2924,614,1591,514
28,8044,85,1,1,0,0,6,4,26,23,141,441,1626,308
29,11101,5,0,1,1,1,3,5,58,16,1790,98,1602,678
30,3621,55,0,0,0,0,3,2,48,14,966,487,1823,434
31,335,27,0,1,1,1,2,3,75,0,1880,406,1469,72
32,10114,85,0,0,0,1,3,2,72,16,783,384,801,522
33,472,85,0,0,0,1,0,6,39,1,1690,532,281,555
34,669,85,0,1,0,1,3,1,62,16,1069,959,1573,1127
35,2275,85,0,1,0,1,2,4,39,7,928,806,459,645
36,10615,60,0,1,1,1,5,1,58,9,2877,350,849,509
37,10483,85,0,1,1,1,0,1,22,24,3055,836,1584,731
38,7220,85,0,0,0,0,6,2,79,16,2279,418,2065,372
39,3344,85,0,1,1,1,2,4,45,8,2946,1019,1446,395
40,64,85,0,1,0,1,2,2,52,16,2986,685,1804,744
41,3069,27,0,1,1,4,0,9,27,31,3153,923,1415,427
42,562,85,0,1,0,3,6,9,26,23,227,796,517,552
43,2210,85,0,1,0,3,2,4,51,1,9,806,1905,681
44,1075,60,0,0,0,1,5,1,58,18,57,932,1218,556
45,8021,85,1,1,1,1,2,3,29,30,60,499,630,338
46,3765,27,0,1,1,1,4,5,61,12,3200,653,1982,645
47,1030,85,0,1,0,2,6,9,29,3,3084,480,209,1167
48,3275,60,0,1,1,1,2,1,75,18,85,279,497,385
49,172,85,0,1,0,0,2,3,26,7,2889,115,1662,106
50,5699,85,0,0,0,1,5,1,58,18,2582,660,27,603
51,3205,85,0,1,1,0,2,1,31,12,2407,672,334,354
52,10036,85,0,1,1,1,5,2,58,18,1953,380,437,370
53,9419,27,0,1,0,1,3,1,22,14,1974,763,1953,953
54,5412,85,0,0,0,1,2,1,22,12,1473,399,1366,539
55,79,27,0,1,0,3,6,9,112,31,2939,917,1738,754
56,993,36,0,1,0,0,4,3,51,13,198,148,2153,420
57,7328,85,0,1,0,3,2,4,51,7,3281,806,1842,714
58,9788,36,0,1,1,1,5,5,58,18,2635,1035,1697,583
59,1604,85,0,1,0,1,6,9,26,20,58,698,1327,743
60,8543,46,0,1,1,1,3,3,67,27,187,254,1279,530
61,2406,80,0,1,0,1,2,1,46,13,2571,806,1122,602
62,10084,27,0,1,1,1,6,4,61,1,2741,923,1889,753
63,9346,85,0,1,1,1,2,4,76,23,653,278,1304,486
64,7395,85,0,1,1,1,5,1,58,9,2531,89,1667,323
65,9349,85,0,1,1,3,2,3,69,34,616,711,1880,462
66,7307,27,0,1,1,1,5,4,53,17,2288,923,1889,303
67,10885,85,0,1,1,0,0,1,61,0,2841,81,2061,248
68,1918,85,0,1,0,1,5,1,90,22,1243,711,1766,1058
69,7396,85,1,1,1,0,3,3,56,15,986,194,2164,1109
70,2011,29,0,1,1,1,5,1,75,22,1583,904,225,685
71,5055,47,0,1,1,2,4,3,61,16,3086,515,1638,1206
72,5929,85,0,0,0,1,3,3,38,15,101,384,820,696
73,10250,85,0,1,0,1,0,9,61,12,292,148,1914,422
74,4580,85,0,0,0,1,3,2,53,18,3240,384,1103,600
75,3890,24,0,1,0,1,2,5,49,15,2512,1014,1869,579
76,1423,85,0,1,1,3,6,4,51,16,869,304,1217,119
77,4458,85,0,0,0,1,3,4,49,15,2845,672,1246,787
78,11122,27,0,1,1,1,0,1,75,36,640,846,1568,184
79,4715,5,0,0,0,3,4,4,51,18,2063,514,1551,698
80,1303,85,0,0,0,1,3,2,52,14,3169,384,618,683
81,7830,65,0,1,0,1,0,1,58,7,693,692,1565,787
82,6729,27,0,1,0,1,5,9,57,8,1115,967,2135,1075
83,5533,27,0,1,1,1,5,9,58,14,1574,530,914,774
84,4953,58,0,1,0,1,4,1,39,16,612,160,1187,689
85,5837,85,0,0,0,1,3,2,41,15,402,384,171,646
86,6616,85,0,1,0,1,3,4,42,6,780,752,1689,711
87,11173,65,1,0,1,0,2,1,50,14,307,490,2129,687
88,353,85,0,1,1,1,0,0,51,15,1091,481,1232,556
89,8393,85,0,1,0,1,0,4,6,31,3255,812,1850,625
90,6000,12,0,0,0,1,2,9,41,22,317,476,1688,720
91,6408,27,0,1,1,1,0,9,39,31,2819,1030,1028,645
92,1506,12,0,1,1,1,5,3,22,31,235,300,2025,1142
93,41,12,0,1,1,1,2,1,75,31,1919,416,1630,692
94,5298,29,0,1,1,1,2,2,75,2,3194,134,666,545
95,2041,85,0,1,0,1,6,4,23,31,171,30,1786,699
96,6931,27,0,1,0,1,5,9,61,22,643,246,1945,631
97,4352,85,1,1,1,1,5,1,49,24,665,57,1816,617
98,8929,27,0,1,0,1,5,1,58,18,2185,208,2202,582
99,1125,85,0,0,0,0,2,1,112,5,1211,489,1347,360
100,2480,85,0,1,1,1,0,1,61,8,2663,863,1560,222
101,7596,85,0,0,0,0,6,5,23,16,367,572,1344,545
