,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
0,41,159560,0.6709999999999999,0.867,2,-2.7060000000000004,0.0571,0.436,0.0,0.139,0.8390000000000001,120.689,4,2020
1,18,313093,0.644,0.212,11,-14.118,0.0347,0.8809999999999999,2.22e-05,0.7979999999999999,0.441,117.072,3,2020
2,18,295093,0.627,0.184,1,-15.533,0.045,0.955,0.000162,0.0986,0.299,115.864,4,2020
3,17,147907,0.442,0.3989999999999999,6,-12.661,0.078,0.93,0.000499,0.912,0.5539999999999999,121.662,4,2020
4,17,183440,0.581,0.331,6,-14.087,0.243,0.888,1.5e-05,0.147,0.642,88.303,4,2020
5,16,233520,0.598,0.212,6,-15.078,0.0406,0.932,2.32e-05,0.6920000000000001,0.172,107.183,4,2020
6,17,232640,0.565,0.153,10,-21.606,0.3779999999999999,0.911,0.0,0.358,0.434,103.309,4,2020
7,17,64173,0.57,0.176,6,-22.676,0.299,0.949,0.0,0.147,0.348,135.687,1,2020
8,16,61400,0.7,0.1639999999999999,10,-19.645,0.4029999999999999,0.914,0.0,0.237,0.31,99.184,3,2020
9,16,213840,0.367,0.307,11,-12.42,0.0568,0.879,0.0,0.73,0.284,172.86700000000002,3,2020
10,16,92560,0.638,0.19,2,-22.268,0.485,0.926,0.0,0.273,0.417,61.212,4,2020
11,5,173573,0.66,0.529,7,-9.861,0.0298,0.356,0.0,0.0641,0.953,133.78,4,2020
12,6,164480,0.485,0.634,0,-7.997999999999999,0.0268,0.28,0.0,0.6709999999999999,0.687,98.625,4,2020
13,5,143307,0.385,0.626,2,-6.2170000000000005,0.0272,0.392,2.8300000000000003e-05,0.312,0.503,104.28,3,2020
14,3,242068,0.507,0.341,5,-11.765,0.0302,0.7829999999999999,0.000245,0.1939999999999999,0.319,150.142,3,2021
15,0,256623,0.535,0.482,11,-15.272,0.843,0.952,1.58e-06,0.969,0.45,127.343,4,2020
16,3,155307,0.555,0.545,7,-9.368,0.0324,0.682,0.0,0.0796,0.727,114.544,4,2020
17,3,141960,0.8390000000000001,0.541,0,-10.277,0.0342,0.294,2.8300000000000003e-05,0.0718,0.963,122.661,4,2020
18,3,148760,0.752,0.67,0,-7.827999999999999,0.0313,0.0764,0.0,0.0633,0.713,100.526,4,2020
19,3,189840,0.8640000000000001,0.346,4,-12.918,0.0365,0.2769999999999999,0.00521,0.0514,0.964,105.164,4,2020
20,4,139733,0.5579999999999999,0.595,6,-8.217,0.0383,0.313,0.0,0.0815,0.575,110.421,4,2020
21,4,188360,0.3879999999999999,0.617,2,-4.614,0.0288,0.3829999999999999,0.0,0.126,0.674,76.03699999999999,3,2020
22,3,200760,0.5529999999999999,0.57,5,-9.297,0.0618,0.356,0.0,0.412,0.6990000000000001,153.547,4,2020
23,3,117489,0.511,0.507,2,-12.8,0.0423,0.752,0.0,0.1889999999999999,0.623,96.037,4,2020
24,3,167733,0.248,0.319,9,-10.441,0.0326,0.782,4.96e-06,0.3289999999999999,0.107,143.195,5,2020
25,4,157333,0.6809999999999999,0.519,9,-10.549,0.0317,0.0535,0.000729,0.138,0.73,120.221,4,2020
26,4,154347,0.483,0.725,7,-7.38,0.0482,0.575,4.8700000000000005e-05,0.34,0.83,138.338,4,2020
27,4,186440,0.753,0.556,0,-7.254,0.0349,0.122,5.53e-06,0.165,0.611,109.968,4,2020
28,3,210766,0.613,0.8320000000000001,0,-10.599,0.0598,0.246,0.0,0.185,0.733,79.735,4,2020
29,26,163680,0.606,0.5379999999999999,10,-9.353,0.1009999999999999,0.0952,0.000384,0.125,0.185,146.918,4,2021
30,0,114888,0.616,0.8420000000000001,4,-14.327,0.103,0.357,0.412,0.6729999999999999,0.782,140.063,4,2021
31,0,216705,0.745,0.732,9,-11.286,0.0759,0.0833,0.928,0.0691,0.954,125.004,4,2021
32,15,154080,0.598,0.959,11,-4.862,0.127,0.00173,2.49e-06,0.135,0.6779999999999999,124.904,4,2020
33,8,187290,0.764,0.78,11,-8.371,0.0495,0.0066,0.0,0.0635,0.774,106.997,4,2020
34,0,208999,0.65,0.711,10,-11.984000000000002,0.0651,0.000127,0.395,0.0918,0.581,122.029,4,2020
35,0,161670,0.807,0.565,1,-8.395,0.0668,0.757,1.7e-06,0.061,0.912,103.999,4,2020
36,0,120301,0.7120000000000001,0.94,2,-8.064,0.0593,0.00682,0.738,0.1009999999999999,0.737,168.06599999999997,4,2021
37,0,410906,0.818,0.679,11,-8.394,0.0818,0.0195,0.8759999999999999,0.0719,0.282,125.021,4,2020
38,0,362000,0.882,0.5379999999999999,9,-5.64,0.0774,0.00276,0.00898,0.635,0.794,120.0,4,2021
39,0,119995,0.527,0.514,1,-13.863,0.0401,0.2269999999999999,0.823,0.123,0.8740000000000001,139.996,4,2021
40,3,151766,0.7240000000000001,0.934,11,-6.394,0.0862,0.0111,0.0,0.119,0.7070000000000001,115.996,4,2020
41,0,148685,0.369,0.618,1,-10.126,0.0441,0.407,0.409,0.172,0.0615,124.576,4,2020
42,1,218585,0.688,0.191,6,-10.867,0.0324,0.931,0.0,0.211,0.259,114.992,4,2020
43,0,453120,0.762,0.7040000000000001,7,-7.198,0.0483,6.840000000000001e-05,0.87,0.6779999999999999,0.107,125.016,4,2020
44,0,89607,0.894,0.361,0,-7.093,0.396,0.0429,0.716,0.127,0.648,150.018,4,2020
45,0,236991,0.828,0.309,4,-12.312,0.244,0.27,0.000457,0.0599,0.725,142.859,4,2020
