,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,company_profile_length,requirements_length,benefits_length
0,Marketing Intern,US,0,1,0,Other,Internship,,,Marketing,0,905.0,885.0,852.0,
1,Customer Service - Cloud Video Production,NZ,0,1,0,Full-time,Not Applicable,,Marketing and Advertising,Customer Service,0,2086.0,1292.0,1447.0,1298.0
2,Commissioning Machinery Assistant (CMA),US,0,1,0,,,,,,0,355.0,893.0,1369.0,
3,Account Executive - Washington DC,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2613.0,618.0,1435.0,786.0
4,Bill Review Manager,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,1598.0,1632.0,759.0,21.0
5,Accounting Clerk,US,0,0,0,,,,,,0,3427.0,,,
6,Head of Content (m/f),DE,0,1,1,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,0,434.0,896.0,924.0,461.0
7,Lead Guest Service Specialist   ,US,0,1,1,,,,,,0,2507.0,1028.0,368.0,698.0
8,HP BSM SME,US,0,1,1,Full-time,Associate,,Information Technology and Services,,0,75.0,1367.0,363.0,
9,Customer Service Associate - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,1220.0,684.0,769.0,
10,"ASP.net Developer Job opportunity at United States,New Jersey",US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,2925.0,,2925.0,70.0
11,Talent Sourcer (6 months fixed-term contract),GB,0,1,0,,,,,,0,1167.0,311.0,749.0,514.0
12,"Applications Developer, Digital ",US,0,1,0,Full-time,Associate,Bachelor's Degree,Management Consulting,Information Technology,0,1722.0,684.0,854.0,
13,Installers,US,0,1,1,Full-time,Not Applicable,Unspecified,Events Services,Other,0,795.0,353.0,601.0,
14,Account Executive - Sydney,AU,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Sales,0,994.0,437.0,513.0,257.0
15,VP of Sales - Vault Dragon,SG,0,1,1,Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,0,3003.0,884.0,664.0,262.0
16,Hands-On QA Leader ,IL,0,1,0,Full-time,Mid-Senior level,,Internet,Engineering,0,314.0,423.0,431.0,
17,Southend-on-Sea Traineeships Under NAS 16-18 Year Olds Only,GB,0,1,1,,,,,,0,390.0,831.0,63.0,17.0
18,Visual Designer,US,0,1,0,,,,,,0,1571.0,390.0,,
19,Process Controls Engineer - DCS PLC MS Office - PA,US,0,0,0,Full-time,,,,,0,1397.0,228.0,1279.0,
20,Marketing Assistant,US,0,1,0,,,,,Marketing,0,1279.0,1357.0,792.0,
21,Front End Developer   ,NZ,0,1,0,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Engineering,0,1940.0,1325.0,848.0,648.0
22,Engagement Manager ,AE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Sales,0,1296.0,2678.0,1089.0,270.0
23,"Vice President, Sales and Sponsorship (Businessfriend.com)",US,0,1,0,Full-time,Executive,Unspecified,Internet,Sales,0,1730.0,877.0,830.0,249.0
24,Customer Service ,GB,0,0,0,,,,,,0,393.0,,,
25,H1B SPONSOR FOR L1/L2/OPT,US,0,1,1,,,,,,0,4843.0,2365.0,97.0,
26,Marketing Exec,SG,0,1,0,Full-time,Associate,,Online Media,Marketing,0,524.0,559.0,533.0,400.0
27,HAAD/DHA Licensed Doctors Opening in UAE,AE,0,1,0,Full-time,Associate,Master's Degree,Hospital & Health Care,Health Care Provider,0,671.0,798.0,251.0,155.0
28,Talent Management Process Manager,US,0,0,0,Full-time,,,Management Consulting,,0,1709.0,228.0,,
29,Customer Service Associate ,CA,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Administrative,0,1218.0,684.0,778.0,
30,Customer Service Technical Specialist ,US,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0,1972.0,684.0,1389.0,
